species,id,q,m,pre_ms,a,label,type,n,y
2,H0163,0.92,4,300.0,0.2222222222222222,incongruent,-1,20,18.0
2,H0164,0.92,2,1100.0,0.8148148148148148,congruent_true,1,19,18.0
2,H0164,0.92,2,1100.0,0.8148148148148148,congruent_false,0,2,0.0
2,H0164,0.92,2,1100.0,0.8148148148148148,incongruent,-1,21,21.0
2,H0164,0.92,3,1100.0,0.8148148148148148,congruent_true,1,19,15.0
2,H0164,0.92,3,1100.0,0.8148148148148148,congruent_false,0,1,0.0
2,H0164,0.92,3,1100.0,0.8148148148148148,incongruent,-1,20,18.0
2,H0164,0.92,4,1100.0,0.8148148148148148,congruent_true,1,18,13.0
2,H0164,0.92,4,1100.0,0.8148148148148148,congruent_false,0,2,1.0
2,H0164,0.92,4,1100.0,0.8148148148148148,incongruent,-1,20,16.0
2,H0165,0.92,2,300.0,0.2222222222222222,congruent_true,1,19,18.0
2,H0165,0.92,2,300.0,0.2222222222222222,congruent_false,0,2,0.0
2,H0165,0.92,2,300.0,0.2222222222222222,incongruent,-1,21,21.0
2,H0165,0.92,3,300.0,0.2222222222222222,congruent_true,1,18,17.0
2,H0165,0.92,3,300.0,0.2222222222222222,congruent_false,0,2,0.0
2,H0165,0.92,3,300.0,0.2222222222222222,incongruent,-1,20,20.0
2,H0165,0.92,4,300.0,0.2222222222222222,congruent_true,1,19,19.0
2,H0165,0.92,4,300.0,0.2222222222222222,congruent_false,0,1,0.0
2,H0165,0.92,4,300.0,0.2222222222222222,incongruent,-1,20,19.0
2,H0166,0.7,2,300.0,0.2222222222222222,congruent_true,1,15,15.0
2,H0166,0.7,2,300.0,0.2222222222222222,congruent_false,0,6,6.0
2,H0166,0.7,2,300.0,0.2222222222222222,incongruent,-1,21,21.0
2,H0166,0.7,3,300.0,0.2222222222222222,congruent_true,1,14,14.0
2,H0166,0.7,3,300.0,0.2222222222222222,congruent_false,0,6,6.0
2,H0166,0.7,3,300.0,0.2222222222222222,incongruent,-1,20,20.0
2,H0166,0.7,4,300.0,0.2222222222222222,congruent_true,1,14,14.0
2,H0166,0.7,4,300.0,0.2222222222222222,congruent_false,0,6,4.0
2,H0166,0.7,4,300.0,0.2222222222222222,incongruent,-1,20,19.0
2,H0167,0.7,2,700.0,0.5185185185185185,congruent_true,1,15,14.0
2,H0167,0.7,2,700.0,0.5185185185185185,congruent_false,0,6,6.0
2,H0167,0.7,2,700.0,0.5185185185185185,incongruent,-1,21,21.0
2,H0167,0.7,3,700.0,0.5185185185185185,congruent_true,1,14,14.0
2,H0167,0.7,3,700.0,0.5185185185185185,congruent_false,0,6,5.0
2,H0167,0.7,3,700.0,0.5185185185185185,incongruent,-1,20,20.0
2,H0167,0.7,4,700.0,0.5185185185185185,congruent_true,1,14,14.0
2,H0167,0.7,4,700.0,0.5185185185185185,congruent_false,0,6,6.0
2,H0167,0.7,4,700.0,0.5185185185185185,incongruent,-1,20,20.0
2,H0168,0.92,2,1100.0,0.8148148148148148,congruent_true,1,19,19.0
2,H0168,0.92,2,1100.0,0.8148148148148148,congruent_false,0,2,1.0
2,H0168,0.92,2,1100.0,0.8148148148148148,incongruent,-1,21,21.0
2,H0168,0.92,3,1100.0,0.8148148148148148,congruent_true,1,18,18.0
2,H0168,0.92,3,1100.0,0.8148148148148148,congruent_false,0,2,0.0
2,H0168,0.92,3,1100.0,0.8148148148148148,incongruent,-1,20,20.0
2,H0168,0.92,4,1100.0,0.8148148148148148,congruent_true,1,19,16.0
2,H0168,0.92,4,1100.0,0.8148148148148148,congruent_false,0,1,0.0
2,H0168,0.92,4,1100.0,0.8148148148148148,incongruent,-1,20,19.0
2,H0169,0.92,2,300.0,0.2222222222222222,congruent_true,1,19,12.0
2,H0169,0.92,2,300.0,0.2222222222222222,congruent_false,0,2,1.0
2,H0169,0.92,2,300.0,0.2222222222222222,incongruent,-1,21,19.0
2,H0169,0.92,3,300.0,0.2222222222222222,congruent_true,1,19,11.0
2,H0169,0.92,3,300.0,0.2222222222222222,congruent_false,0,1,0.0
2,H0169,0.92,3,300.0,0.2222222222222222,incongruent,-1,20,14.0
2,H0169,0.92,4,300.0,0.2222222222222222,congruent_true,1,18,13.0
2,H0169,0.92,4,300.0,0.2222222222222222,congruent_false,0,2,1.0
2,H0169,0.92,4,300.0,0.2222222222222222,incongruent,-1,20,15.0
2,H0170,0.92,2,1100.0,0.8148148148148148,congruent_true,1,19,18.0
2,H0170,0.92,2,1100.0,0.8148148148148148,congruent_false,0,2,2.0
2,H0170,0.92,2,1100.0,0.8148148148148148,incongruent,-1,21,21.0
2,H0170,0.92,3,1100.0,0.8148148148148148,congruent_true,1,19,18.0
2,H0170,0.92,3,1100.0,0.8148148148148148,congruent_false,0,1,1.0
2,H0170,0.92,3,1100.0,0.8148148148148148,incongruent,-1,20,20.0
2,H0170,0.92,4,1100.0,0.8148148148148148,congruent_true,1,18,18.0
2,H0170,0.92,4,1100.0,0.8148148148148148,congruent_false,0,2,2.0
2,H0170,0.92,4,1100.0,0.8148148148148148,incongruent,-1,20,19.0
2,H0171,0.7,2,1100.0,0.8148148148148148,congruent_true,1,15,13.0
2,H0171,0.7,2,1100.0,0.8148148148148148,congruent_false,0,6,6.0
2,H0171,0.7,2,1100.0,0.8148148148148148,incongruent,-1,21,21.0
2,H0171,0.7,3,1100.0,0.8148148148148148,congruent_true,1,14,13.0
2,H0171,0.7,3,1100.0,0.8148148148148148,congruent_false,0,6,5.0
2,H0171,0.7,3,1100.0,0.8148148148148148,incongruent,-1,20,19.0
2,H0171,0.7,4,1100.0,0.8148148148148148,congruent_true,1,14,11.0
2,H0171,0.7,4,1100.0,0.8148148148148148,congruent_false,0,6,6.0
2,H0171,0.7,4,1100.0,0.8148148148148148,incongruent,-1,20,16.0
2,H0172,0.92,2,1100.0,0.8148148148148148,congruent_true,1,20,20.0
2,H0172,0.92,2,1100.0,0.8148148148148148,congruent_false,0,1,1.0
2,H0172,0.92,2,1100.0,0.8148148148148148,incongruent,-1,21,20.0
2,H0172,0.92,3,1100.0,0.8148148148148148,congruent_true,1,18,18.0
2,H0172,0.92,3,1100.0,0.8148148148148148,congruent_false,0,2,0.0
2,H0172,0.92,3,1100.0,0.8148148148148148,incongruent,-1,20,20.0
2,H0172,0.92,4,1100.0,0.8148148148148148,congruent_true,1,18,17.0
2,H0172,0.92,4,1100.0,0.8148148148148148,congruent_false,0,2,2.0
2,H0172,0.92,4,1100.0,0.8148148148148148,incongruent,-1,20,19.0
2,H0173,0.92,2,300.0,0.2222222222222222,congruent_true,1,19,19.0
2,H0173,0.92,2,300.0,0.2222222222222222,congruent_false,0,2,2.0
2,H0173,0.92,2,300.0,0.2222222222222222,incongruent,-1,21,21.0
2,H0173,0.92,3,300.0,0.2222222222222222,congruent_true,1,19,17.0
2,H0173,0.92,3,300.0,0.2222222222222222,congruent_false,0,1,0.0
2,H0173,0.92,3,300.0,0.2222222222222222,incongruent,-1,20,19.0
2,H0173,0.92,4,300.0,0.2222222222222222,congruent_true,1,18,18.0
2,H0173,0.92,4,300.0,0.2222222222222222,congruent_false,0,2,1.0
2,H0173,0.92,4,300.0,0.2222222222222222,incongruent,-1,20,20.0
2,H0174,0.7,2,300.0,0.2222222222222222,congruent_true,1,15,15.0
2,H0174,0.7,2,300.0,0.2222222222222222,congruent_false,0,6,6.0
2,H0174,0.7,2,300.0,0.2222222222222222,incongruent,-1,21,21.0
2,H0174,0.7,3,300.0,0.2222222222222222,congruent_true,1,14,14.0
2,H0174,0.7,3,300.0,0.2222222222222222,congruent_false,0,6,6.0
2,H0174,0.7,3,300.0,0.2222222222222222,incongruent,-1,20,20.0
2,H0174,0.7,4,300.0,0.2222222222222222,congruent_true,1,14,14.0
2,H0174,0.7,4,300.0,0.2222222222222222,congruent_false,0,6,6.0
2,H0174,0.7,4,300.0,0.2222222222222222,incongruent,-1,20,20.0
2,H0175,0.7,2,700.0,0.5185185185185185,congruent_true,1,15,15.0
2,H0175,0.7,2,700.0,0.5185185185185185,congruent_false,0,6,6.0
2,H0175,0.7,2,700.0,0.5185185185185185,incongruent,-1,21,21.0
2,H0175,0.7,3,700.0,0.5185185185185185,congruent_true,1,14,14.0
2,H0175,0.7,3,700.0,0.5185185185185185,congruent_false,0,6,6.0
2,H0175,0.7,3,700.0,0.5185185185185185,incongruent,-1,20,19.0
2,H0175,0.7,4,700.0,0.5185185185185185,congruent_true,1,14,14.0
2,H0175,0.7,4,700.0,0.5185185185185185,congruent_false,0,6,6.0
2,H0175,0.7,4,700.0,0.5185185185185185,incongruent,-1,20,17.0
2,H0176,0.7,2,300.0,0.2222222222222222,congruent_true,1,15,13.0
2,H0176,0.7,2,300.0,0.2222222222222222,congruent_false,0,6,5.0
2,H0176,0.7,2,300.0,0.2222222222222222,incongruent,-1,21,21.0
2,H0176,0.7,3,300.0,0.2222222222222222,congruent_true,1,14,13.0
2,H0176,0.7,3,300.0,0.2222222222222222,congruent_false,0,6,2.0
2,H0176,0.7,3,300.0,0.2222222222222222,incongruent,-1,20,16.0
2,H0176,0.7,4,300.0,0.2222222222222222,congruent_true,1,14,12.0
2,H0176,0.7,4,300.0,0.2222222222222222,congruent_false,0,6,5.0
2,H0176,0.7,4,300.0,0.2222222222222222,incongruent,-1,20,15.0
2,H0177,0.7,2,1100.0,0.8148148148148148,congruent_true,1,15,13.0
2,H0177,0.7,2,1100.0,0.8148148148148148,congruent_false,0,6,6.0
2,H0177,0.7,2,1100.0,0.8148148148148148,incongruent,-1,21,19.0
2,H0177,0.7,3,1100.0,0.8148148148148148,congruent_true,1,14,14.0
2,H0177,0.7,3,1100.0,0.8148148148148148,congruent_false,0,6,4.0
2,H0177,0.7,3,1100.0,0.8148148148148148,incongruent,-1,20,17.0
2,H0177,0.7,4,1100.0,0.8148148148148148,congruent_true,1,14,12.0
2,H0177,0.7,4,1100.0,0.8148148148148148,congruent_false,0,6,4.0
2,H0177,0.7,4,1100.0,0.8148148148148148,incongruent,-1,20,18.0
2,H0178,0.7,2,700.0,0.5185185185185185,congruent_true,1,15,13.0
2,H0178,0.7,2,700.0,0.5185185185185185,congruent_false,0,6,6.0
2,H0178,0.7,2,700.0,0.5185185185185185,incongruent,-1,21,20.0
2,H0178,0.7,3,700.0,0.5185185185185185,congruent_true,1,14,12.0
2,H0178,0.7,3,700.0,0.5185185185185185,congruent_false,0,6,5.0
2,H0178,0.7,3,700.0,0.5185185185185185,incongruent,-1,20,17.0
2,H0178,0.7,4,700.0,0.5185185185185185,congruent_true,1,14,14.0
2,H0178,0.7,4,700.0,0.5185185185185185,congruent_false,0,6,4.0
2,H0178,0.7,4,700.0,0.5185185185185185,incongruent,-1,20,20.0
2,H0179,0.7,2,1100.0,0.8148148148148148,congruent_true,1,15,15.0
2,H0179,0.7,2,1100.0,0.8148148148148148,congruent_false,0,6,5.0
2,H0179,0.7,2,1100.0,0.8148148148148148,incongruent,-1,21,21.0
2,H0179,0.7,3,1100.0,0.8148148148148148,congruent_true,1,14,14.0
2,H0179,0.7,3,1100.0,0.8148148148148148,congruent_false,0,6,6.0
2,H0179,0.7,3,1100.0,0.8148148148148148,incongruent,-1,20,19.0
2,H0179,0.7,4,1100.0,0.8148148148148148,congruent_true,1,14,14.0
2,H0179,0.7,4,1100.0,0.8148148148148148,congruent_false,0,6,5.0
2,H0179,0.7,4,1100.0,0.8148148148148148,incongruent,-1,20,19.0
2,H0180,0.92,2,700.0,0.5185185185185185,congruent_true,1,20,19.0
2,H0180,0.92,2,700.0,0.5185185185185185,congruent_false,0,1,1.0
2,H0180,0.92,2,700.0,0.5185185185185185,incongruent,-1,21,21.0
2,H0180,0.92,3,700.0,0.5185185185185185,congruent_true,1,18,18.0
2,H0180,0.92,3,700.0,0.5185185185185185,congruent_false,0,2,1.0
2,H0180,0.92,3,700.0,0.5185185185185185,incongruent,-1,20,20.0
2,H0180,0.92,4,700.0,0.5185185185185185,congruent_true,1,18,18.0
2,H0180,0.92,4,700.0,0.5185185185185185,congruent_false,0,2,2.0
2,H0180,0.92,4,700.0,0.5185185185185185,incongruent,-1,20,20.0
